[0, 3287, 7384, 11683, 15651, 19830, 23997, 28171, 32311, 36336, 40470, 44661, 48828, 52993, 57141, 61294, 65522, 69675, 73871, 78089, 82296, 86468, 90568, 94771, 98994, 103221, 107473, 111614, 115925, 120158, 124358, 128563, 132837, 137013, 141241, 145470, 149756, 153959, 158211, 162532, 166759]
[0, 1463, 3049, 4645, 6175, 7732, 9343, 10946, 12448, 13977, 15557, 17214, 18758, 20322, 21882, 23420, 25032, 26652, 28191, 29771, 31397, 33016, 34613, 36199, 37723, 39308, 40935, 42517, 44092, 45748, 47331, 48884, 50478, 52003, 53611, 55153, 56777, 58321, 59895, 61516, 63116]
[0, 3376, 7360, 11270, 15173, 18967, 22719, 26640, 30509, 34317, 38340, 42431, 46449, 50441, 54318, 58204, 62210, 66230, 70377, 74475, 78480, 82592, 86645, 90712, 94802, 98838, 102906, 106935, 110847, 114868, 118961, 122997, 127039, 131007, 135011, 139136, 143196, 147283, 151375, 155458, 159501]
[0, 1596, 3179, 4750, 6357, 7879, 9469, 11003, 12557, 14133, 15760, 17352, 18972, 20499, 22040, 23575, 25215, 26795, 28478, 30041, 31640, 33250, 34849, 36461, 38050, 39668, 41259, 42854, 44376, 45933, 47518, 49118, 50737, 52268, 53831, 55450, 57049, 58625, 60216, 61781, 63276]
[0, 3319, 7172, 11113, 14816, 18553, 22480, 26393, 30486, 34625, 38960, 43266, 47579, 51882, 56134, 60370, 64599, 68801, 72990, 77084, 81364, 85536, 89743, 94025, 98298, 102609, 106839, 111141, 115385, 119640, 123857, 128076, 132200, 136407, 140722, 144972, 149163, 153308, 157547, 161815, 165972]
[0, 1585, 3130, 4726, 6252, 7861, 9449, 11003, 12552, 14153, 15788, 17385, 18939, 20563, 22160, 23758, 25316, 26845, 28428, 29964, 31570, 33105, 34660, 36278, 37830, 39519, 41068, 42681, 44234, 45816, 47410, 49032, 50577, 52129, 53749, 55341, 56950, 58482, 60103, 61716, 63278]
[0, 3359, 7231, 11394, 15389, 19649, 23696, 27720, 31776, 35819, 39846, 43864, 47948, 51968, 56015, 60104, 64137, 68175, 72254, 76410, 80579, 84713, 88819, 92951, 97179, 101438, 105784, 109893, 114091, 118363, 122606, 126784, 131019, 135222, 139420, 143625, 147877, 152034, 156307, 160494, 164647]
[0, 1521, 3069, 4635, 6191, 7786, 9347, 10906, 12557, 14154, 15737, 17328, 18898, 20467, 22043, 23684, 25220, 26791, 28417, 30056, 31672, 33253, 34792, 36348, 37899, 39573, 41225, 42775, 44316, 45945, 47546, 49083, 50705, 52230, 53816, 55374, 57010, 58557, 60178, 61769, 63346]
[0, 3267, 7310, 11348, 15211, 18965, 23122, 27173, 31477, 35724, 40004, 44138, 48323, 52532, 56646, 60840, 64976, 69103, 73287, 77378, 81609, 85785, 89918, 94130, 98408, 102672, 106801, 111013, 115230, 119477, 123656, 127879, 132074, 136294, 140541, 144722, 148897, 152947, 157060, 161289, 165526]
[0, 1532, 3090, 4623, 6233, 7791, 9378, 10983, 12597, 14202, 15815, 17377, 18947, 20548, 22196, 23808, 25425, 27017, 28628, 30179, 31821, 33425, 35006, 36589, 38155, 39809, 41393, 42987, 44556, 46167, 47769, 49423, 51023, 52612, 54235, 55831, 57413, 59024, 60615, 62227, 63821]
[0, 3291, 7521, 11279, 15457, 19614, 23625, 27693, 31908, 36169, 40391, 44638, 48863, 53047, 57282, 61480, 65672, 69940, 74174, 78415, 82621, 86798, 91031, 95310, 99545, 103802, 107992, 112214, 116499, 120764, 124920, 129125, 133311, 137363, 141533, 145592, 149595, 153730, 157842, 162028, 166322]
[0, 1482, 3016, 4579, 6114, 7711, 9271, 10880, 12487, 14079, 15662, 17301, 18932, 20522, 22113, 23699, 25342, 26908, 28504, 30105, 31679, 33267, 34818, 36418, 38047, 39635, 41158, 42786, 44449, 46022, 47577, 49157, 50781, 52314, 53920, 55491, 57022, 58617, 60208, 61792, 63473]
[0, 3320, 7309, 11348, 15327, 19243, 22982, 27143, 31127, 35074, 39210, 43139, 47219, 51321, 55461, 59452, 63636, 67719, 71849, 75979, 80030, 84167, 88271, 92430, 96619, 100728, 104731, 108848, 113018, 117112, 121366, 125573, 129747, 133886, 138051, 142131, 146256, 150435, 154561, 158684, 162905]
[0, 1542, 3137, 4700, 6279, 7821, 9352, 11006, 12554, 14102, 15706, 17272, 18909, 20485, 22117, 23742, 25308, 26833, 28482, 30087, 31590, 33139, 34686, 36288, 37894, 39502, 41047, 42636, 44219, 45825, 47401, 49053, 50613, 52143, 53725, 55289, 56947, 58503, 60086, 61654, 63235]
[0, 3348, 7521, 11568, 15679, 19921, 24180, 28485, 32571, 36611, 40751, 44965, 49195, 53394, 57557, 61717, 65918, 70111, 74331, 78509, 82628, 86797, 91007, 95174, 99369, 103500, 107778, 112037, 116194, 120363, 124621, 128878, 133065, 137258, 141402, 145669, 149800, 153953, 158220, 162398, 166658]
[0, 1508, 3111, 4660, 6229, 7865, 9486, 11087, 12624, 14177, 15711, 17325, 18946, 20589, 22169, 23728, 25278, 26903, 28461, 30031, 31534, 33112, 34704, 36301, 37886, 39475, 41061, 42672, 44250, 45823, 47459, 49036, 50562, 52160, 53728, 55380, 56986, 58574, 60171, 61698, 63298]
[0, 3180, 7291, 11249, 15325, 19379, 23381, 27440, 31614, 35799, 39937, 44105, 48213, 52250, 56316, 60382, 64543, 68703, 72868, 77053, 81310, 85521, 89705, 93853, 98015, 102067, 106230, 110383, 114489, 118622, 122813, 126995, 131152, 135222, 139428, 143686, 147923, 152089, 156246, 160383, 164510]
[0, 1449, 3011, 4613, 6213, 7820, 9343, 10918, 12476, 14059, 15575, 17136, 18686, 20262, 21825, 23458, 25069, 26621, 28166, 29782, 31410, 32943, 34493, 36068, 37637, 39201, 40788, 42382, 43965, 45571, 47106, 48718, 50287, 51814, 53415, 55047, 56691, 58217, 59790, 61342, 62924]
