[[[1.0], [0.09047290528340435], [0.0], [0.08636686867191606], [1.0], [0.11950376824395934], [1.0], [0.1695629211157158], [1.0], [0.10275879219716902]], '|', 0, 0.0, 0.0, 0]
[[[0.0], [0.11892965564083824], [0.0], [0.09845217962935796], [1.0], [0.03536910581186821], [0.0], [0.14485670832942657], [1.0], [0.11635602151747312]], '|', 2, 0.0, 0.0, 0]
[[[0.0], [0.027397489200631217], [0.0], [0.12736998000286182], [0.0], [0.1012813011269364], [0.0], [0.10785080830185305], [1.0], [0.13629804642433743]], '|', 4, 0.0, 0.0, 0]
[[[1.0], [0.014606607339710864], [1.0], [0.05079767457332152], [0.0], [0.12202149983904863], [0.0], [0.13171227463677393], [0.0], [0.07505877081280833]], '|', 3, 0.002816, 9.997, 0]
[[[0.0], [0.10432250620339031], [1.0], [0.09201868338664111], [1.0], [0.10931329194908632], [1.0], [0.10621573054529898], [0.0], [0.12374900611708349]], '|', 2, 0.0, 0.0, 0]
[[[1.0], [0.045977691383839815], [1.0], [0.08759532905927761], [1.0], [0.0026064894357144403], [1.0], [0.14155298407437658], [1.0], [0.18747918587897033]], '|', 3, 0.002816, 9.995, 0]
[[[1.0], [0.08323287734506879], [1.0], [0.10019841828258512], [0.0], [0.06665770935702184], [1.0], [0.08482564434947829], [0.0], [0.07825510041837552]], '|', 2, 0.0, 0.0, 0]
[[[1.0], [0.14334470522532555], [1.0], [0.18762798915878937], [1.0], [0.024145563084356295], [1.0], [0.07412333246980368], [1.0], [0.13605947566594845]], '|', 4, 0.0, 0.0, 0]
[[[0.0], [0.07623922321878296], [1.0], [0.1395286575995992], [0.0], [0.10732416277698269], [1.0], [0.13695971971204415], [0.0], [0.12132687931198383]], '|', 4, 0.002816, 9.992, 0]
[[[1.0], [0.07659467847647149], [0.0], [0.11122660308490556], [0.0], [0.0970754918501089], [1.0], [0.1464135427997508], [1.0], [0.11477970865502896]], '|', 1, 0.002816, 9.991, 0]
[[[1.0], [0.11661245016833584], [1.0], [0.12333550134590013], [0.0], [0.13037850546874494], [1.0], [0.11650760703883799], [1.0], [0.1467134732922536]], '|', 3, 0.002816, 9.99, 0]
[[[0.0], [0.05150040889523245], [0.0], [0.05523538405761088], [0.0], [0.17824315614814568], [0.0], [0.08694002007687263], [0.0], [0.04629296842490256]], '|', 4, 1.0, 0.005862993467636168, 1]
[[[0.0], [0.06328095851265528], [1.0], [0.06592650337719119], [1.0], [0.1036303428696706], [1.0], [0.1464880987972652], [1.0], [0.11287129889850864]], '|', 3, 0.002816, 9.988, 0]
[[[1.0], [0.15365271326271385], [1.0], [0.0781690332806973], [1.0], [0.09204648548444413], [1.0], [0.07198405980314981], [0.0], [0.09186422204141767]], '|', 0, 1.0, 0.3056262854942313, 1]
[[[1.0], [0.05246169377851259], [0.0], [0.10974444938427008], [1.0], [0.016110376034289706], [1.0], [0.08205477462648242], [1.0], [0.11882238370623416]], '|', 4, 0.002816, 9.986, 0]
[[[0.0], [0.04405687089720679], [1.0], [0.09992434068647986], [1.0], [0.044135183016182716], [0.0], [0.06554734556895832], [0.0], [0.1269884610275189]], '|', 3, 0.0, 0.0, 0]
[[[0.0], [0.1015182028402776], [1.0], [0.061891039250161185], [0.0], [0.0519590538821845], [1.0], [0.09683824084393959], [0.0], [0.13159573380824674]], '|', 1, 0.0, 0.0, 0]
[[[1.0], [0.18744710030269074], [0.0], [0.1318010437769938], [1.0], [0.08502246724627117], [0.0], [0.10536192786218493], [1.0], [0.14808219448798826]], '|', 1, 0.0, 0.0, 0]
[[[1.0], [0.15289723052520204], [1.0], [0.13932634921513237], [1.0], [0.1502875985462321], [1.0], [0.11850288165450111], [0.0], [0.0633986711044954]], '|', 1, 0.0, 0.0, 0]
[[[0.0], [0.13529553899609598], [1.0], [0.06872353269252797], [0.0], [0.08249964068685676], [1.0], [0.10381700348765031], [0.0], [0.13685800274638046]], '|', 0, 0.0, 0.0, 0]
[[[1.0], [0.0854833754315757], [1.0], [0.06332262011528282], [1.0], [0.13816065528720858], [1.0], [0.08594492747781694], [1.0], [0.14403584631136693]], '|', 4, 0.0, 0.0, 0]
[[[0.0], [0.14443611171408433], [0.0], [0.06679312418739544], [1.0], [0.06477689600623315], [1.0], [0.08883609113826839], [0.0], [0.16491396343816006]], '|', 0, 0.0, 0.0, 0]
[[[0.0], [0.10301017541568237], [1.0], [0.08478056844834034], [0.0], [0.08524998492532837], [1.0], [0.1426246957417025], [0.0], [0.1029661069738915]], '|', 2, 0.0, 0.0, 0]
[[[1.0], [0.16651778679321114], [1.0], [0.12618320610346803], [1.0], [0.09795246209569344], [0.0], [0.0709761152346229], [1.0], [0.06528925289505638]], '|', 1, 1.0, 1.078609374168352, 1]
[[[0.0], [0.14130749564966674], [0.0], [0.13053714534850303], [0.0], [0.13813055783651448], [1.0], [0.0826303699997999], [1.0], [0.15004456287486334]], '|', 3, 0.002816, 9.976, 0]
